File Path,Annotation Count
./harvester.cfg,5
./README.md,7
./history.json,0
./LICENSE,0
./lccSubjects.xml,1
./cms/README.md,3
./cms/test-page.html,1
./cms/pages/about/index.md,1
./cms/pages/about/advisory-board-council.md,1
./cms/pages/about/editorial-subcommittee.md,1
./cms/pages/about/team.md,1
./cms/pages/about/volunteers.md,1
./cms/pages/about/ambassadors.md,1
./cms/pages/support/thank-you.md,1
./cms/pages/support/index.md,2
./cms/pages/support/sponsors.md,1
./cms/pages/support/supporters.md,1
./cms/pages/support/publisher-supporters.md,2
./cms/pages/apply/thank-you.md,1
./cms/pages/apply/seal.md,1
./cms/pages/apply/why-index.md,1
./cms/pages/apply/transparency.md,1
./cms/pages/apply/draft_saved.md,1
./cms/pages/apply/guide.md,1
./cms/pages/docs/widgets.md,4
./cms/pages/docs/public-data-dump.md,2
./cms/pages/docs/oai-pmh.md,3
./cms/pages/docs/xml.md,1
./cms/pages/docs/openurl.md,1
./cms/pages/docs/faq.md,1
./cms/pages/legal/terms.md,1
./cms/pages/legal/contact.md,1
./cms/pages/legal/accessibility.md,1
./cms/pages/legal/privacy.md,1
./cms/data/promo.yml,1
./cms/data/volunteers.yml,1
./cms/data/nav.yml,39
./cms/data/supporters.yml,1
./cms/data/advisory-board-council.yml,1
./cms/data/ambassadors.yml,1
./cms/data/editorial-subcommittee.yml,1
./cms/data/publisher-supporters.yml,1
./cms/data/team.yml,1
./cms/data/sponsors.yml,1
./scratchpad/issue290/orphan_issns.py,0
./scratchpad/issue2337_spreadsheet_not_in_doaj/info_per_issn.py,0
./scratchpad/duplicate_articles/duplicate_articles.py,0
./docker/docker-compose.yml,0
./docker/redis/Dockerfile,0
./docker/redis/redis.conf,0
./docs/index.sh,1
./docs/featuremap.sh,1
./docs/forms.sh,1
./docs/data_models.sh,9
./docs/coverage.sh,1
./docs/data_models/README.md,1
./docs/featuremap/terminals.csv,0
./docs/featuremap/types.csv,0
./docs/featuremap/config.yml,0
./docs/system/S3.md,3
./docs/system/OPENURL.md,7
./docs/system/AUTHNZ.md,6
./docs/system/INSTALL.md,9
./docs/system/API.md,5
./docs/system/AWS.md,4
./doajtest/make_matrix.py,0
./doajtest/helpers.py,0
./doajtest/clonelive.py,0
./doajtest/__init__.py,0
./doajtest/bootstrap.py,0
./doajtest/functional/rate_test.py,0
./doajtest/functional/oaipmh_client_test.py,0
./doajtest/functional/rate_test2.py,0
./doajtest/functional/bulk_api.py,0
./doajtest/functional/stress_test.py,0
