File Path,Annotation Count,Line Count,Completion Metric
/home/runner/work/doaj/doaj/doaj/portality/models/account.py,0,237,0.0
/home/runner/work/doaj/doaj/doaj/portality/models/event.py,0,48,0.0
/home/runner/work/doaj/doaj/doaj/portality/models/preservation.py,1,129,0.007751937984496124
/home/runner/work/doaj/doaj/doaj/portality/models/lock.py,0,68,0.0
/home/runner/work/doaj/doaj/doaj/portality/models/news.py,3,79,0.0379746835443038
/home/runner/work/doaj/doaj/doaj/portality/models/background.py,6,304,0.019736842105263157
/home/runner/work/doaj/doaj/doaj/portality/models/openurl.py,2,469,0.0042643923240938165
/home/runner/work/doaj/doaj/doaj/portality/models/atom.py,0,30,0.0
/home/runner/work/doaj/doaj/doaj/portality/models/__init__.py,0,70,0.0
/home/runner/work/doaj/doaj/doaj/portality/models/notifications.py,1,73,0.0136986301369863
/home/runner/work/doaj/doaj/doaj/portality/models/search.py,0,96,0.0
/home/runner/work/doaj/doaj/doaj/portality/models/v2/journal.py,0,1124,0.0
/home/runner/work/doaj/doaj/doaj/portality/models/v2/bibjson.py,0,975,0.0
/home/runner/work/doaj/doaj/doaj/portality/models/v2/shared_structs.py,0,239,0.0
/home/runner/work/doaj/doaj/doaj/portality/models/v2/application.py,3,412,0.007281553398058253
/home/runner/work/doaj/doaj/doaj/portality/models/v2/__init__.py,0,0,1.0
/home/runner/work/doaj/doaj/doaj/portality/models/v1/journal.py,0,1455,0.0
/home/runner/work/doaj/doaj/doaj/portality/models/v1/bibjson.py,0,207,0.0
/home/runner/work/doaj/doaj/doaj/portality/models/v1/shared_structs.py,0,170,0.0
/home/runner/work/doaj/doaj/doaj/portality/models/v1/suggestion.py,0,375,0.0
/home/runner/work/doaj/doaj/doaj/portality/models/v1/__init__.py,0,0,1.0
/home/runner/work/doaj/doaj/doaj/portality/formcontext/forms.py,0,0,1.0
/home/runner/work/doaj/doaj/doaj/portality/static/widget/public_search_config.js,0,6,0.0
/home/runner/work/doaj/doaj/doaj/portality/static/widget/fq_widget_depends_compiled.js,0,8298,0.0
/home/runner/work/doaj/doaj/doaj/portality/static/widget/fixed_query_build.sh,0,29,0.0
/home/runner/work/doaj/doaj/doaj/portality/static/widget/simple_search.js,0,105,0.0
/home/runner/work/doaj/doaj/doaj/portality/static/widget/fixed_query_src.js,0,149,0.0
/home/runner/work/doaj/doaj/doaj/portality/static/widget/ssw_test.html,0,11,0.0
/home/runner/work/doaj/doaj/doaj/portality/static/widget/fq_widget_test.html,0,65,0.0
/home/runner/work/doaj/doaj/doaj/portality/static/widget/fixed_query.js,0,73,0.0
/home/runner/work/doaj/doaj/doaj/portality/static/doaj/isolang_diff.html,0,505,0.0
/home/runner/work/doaj/doaj/doaj/portality/static/doaj/iso_639-2b.xsd,0,933,0.0
