DOAJ:Documentation,README.md#L2,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/README.md#L2
LCCXML:Data,lccSubjects.xml#L1,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/lccSubjects.xml#L1
AuthNZ:Feature,portality/authorise.py#L5,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/authorise.py#L5
DataSets:Data,portality/datasets.py#L2,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/datasets.py#L2
Countries:Data,portality/datasets.py#L13,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/datasets.py#L13
Currencies:Data,portality/datasets.py#L29,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/datasets.py#L29
Languages:Data,portality/datasets.py#L46,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/datasets.py#L46
Email:Library,portality/app_email.py#L1,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/app_email.py#L1
DOAJ:WebApp,portality/app.py#L10,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/app.py#L10
FileStore:Feature,portality/store.py#L42,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/store.py#L42
FileStoreS3:Feature,portality/store.py#L76,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/store.py#L76
Constants:Config,portality/constants.py#L1,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/constants.py#L1
Lock:Feature,portality/lock.py#L2,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/lock.py#L2
Lock:Query,portality/lock.py#L176,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/lock.py#L176
DomainObject:Model,portality/dao.py#L47,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/dao.py#L47
SearchURLGenerator:Feature,portality/dao.py#L1008,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/dao.py#L1008
LoginManager:Feature,portality/core.py#L26,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/core.py#L26
CreateApp:Framework,portality/core.py#L37,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/core.py#L37
CrossrefXML:Feature,portality/core.py#L135,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/core.py#L135
ElasticConnection:Framework,portality/core.py#L168,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/core.py#L168
InitialiseIndex:Framework,portality/core.py#L224,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/core.py#L224
APM:Feature,portality/core.py#L252,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/core.py#L252
ProxyFix:Framework,portality/core.py#L267,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/core.py#L267
CMS:Build,portality/core.py#L324,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/core.py#L324
ErrorHandler:Feature,portality/error_handler.py#L46,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/error_handler.py#L46
Swagger:Feature,portality/decorators.py#L15,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/decorators.py#L15
APIKey:Feature,portality/decorators.py#L29; portality/decorators.py#L48,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/decorators.py#L29; https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/decorators.py#L48
SSLRequired:Feature,portality/decorators.py#L70,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/decorators.py#L70
Authorisation:Feature,portality/decorators.py#L88,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/decorators.py#L88
ReadOnlyMode:Feature,portality/decorators.py#L103,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/decorators.py#L103
CaptureSigterm:Feature,portality/decorators.py#L140,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/decorators.py#L140
Migrations:Framework,portality/upgrade.py#L2,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/upgrade.py#L2
DOI:Regex,portality/regex.py#L3,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/regex.py#L3
ORCID:Regex,portality/regex.py#L7,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/regex.py#L7
ISSN:Regex,portality/regex.py#L11,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/regex.py#L11
Date:Regex,portality/regex.py#L15,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/regex.py#L15
URL:Regex,portality/regex.py#L19,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/regex.py#L19
BackgroundTasks:Feature,portality/background.py#L39; portality/tasks/helpers/background_helper.py#L2,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/background.py#L39; https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/tasks/helpers/background_helper.py#L2
BackgroundTask:Process,portality/background.py#L110,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/background.py#L110
AdminBackgroundTask:Process,portality/background.py#L191,https://github.com/DOAJ/doaj/blob/feature/3519_application_annotation_backend/portality/background.py#L191
